Synset('apiary.n.01')	apiary
Synset('apidae.n.01')	Apidae
Synset('apios.n.01')	Apios
Synset('apis.n.01')	Apis
Synset('apium.n.01')	Apium
Synset('aplectrum.n.01')	Aplectrum
Synset('aplysia.n.01')	Aplysia
Synset('aplysiidae.n.01')	Aplysiidae
Synset('apoapsis.n.01')	apoapsis
Synset('apodeme.n.01')	apodeme
Synset('apodidae.n.01')	Apodidae
Synset('apogon.n.01')	Apogon
Synset('apoidea.n.01')	Apoidea
Synset('apophysis.n.02')	apophysis
Synset('appendix.n.02')	appendix
Synset('applause.n.01')	applause
Synset('apple_of_peru.n.01')	apple_of_Peru
Synset('apple.n.01')	apple
Synset('apple.n.02')	apple
Synset('apricot.n.01')	apricot
Synset('apricot.n.02')	apricot
Synset('april.n.01')	April
Synset('apron.n.01')	apron
Synset('apron.n.02')	apron
Synset('apron.n.04')	apron
Synset('apse.n.01')	apse
Synset('apus.n.02')	Apus
Synset('aqualung.n.01')	aqualung
Synset('aquila.n.03')	Aquila
Synset('ara.n.02')	Ara
Synset('arab.n.01')	Arab
Synset('arabis.n.01')	Arabis
Synset('araceae.n.01')	Araceae
Synset('arachnid.n.01')	arachnid
Synset('arachnoid.n.01')	arachnoid
Synset('arales.n.01')	Arales
Synset('aralia.n.01')	aralia
Synset('aranea.n.01')	Aranea
Synset('araneae.n.01')	Araneae
Synset('arariba.n.01')	arariba
Synset('araujia.n.01')	Araujia
Synset('arbutus.n.01')	arbutus
Synset('arc.n.02')	arc
Synset('arca.n.01')	Arca
Synset('arcade.n.02')	arcade
Synset('arcadian.n.01')	Arcadian
Synset('arcella.n.01')	arcella
Synset('arch.n.03')	arch
Synset('arch.n.04')	arch
Synset('archil.n.02')	archil
Synset('architectonics.n.01')	architectonics
Synset('architecture.n.02')	architecture
Synset('architrave.n.02')	architrave
Synset('archosaur.n.01')	archosaur
Synset('arcidae.n.01')	Arcidae
Synset('arctictis.n.01')	Arctictis
Synset('arctiid.n.01')	arctiid
Synset('arctonyx.n.01')	Arctonyx
Synset('arctotis.n.01')	Arctotis
Synset('ardea.n.01')	Ardea
Synset('ardisia.n.01')	Ardisia
Synset('are.n.01')	are
Synset('areca.n.01')	areca
Synset('arecidae.n.01')	Arecidae
Synset('arenaria.n.01')	Arenaria
Synset('arenaria.n.02')	Arenaria
Synset('arenga.n.01')	Arenga
Synset('areola.n.02')	areola
Synset('areopagus.n.02')	Areopagus
Synset('argali.n.01')	argali
Synset('argentine.n.01')	argentine
Synset('argentinian.n.01')	Argentinian
Synset('argiope.n.01')	Argiope
Synset('argon.n.01')	argon
Synset('argus.n.02')	argus
Synset('argyle.n.02')	argyle
Synset('argyle.n.03')	argyle
Synset('argyll.n.01')	argyll
Synset('argyreia.n.01')	Argyreia
Synset('aria.n.01')	aria
Synset('ariidae.n.01')	Ariidae
Synset('arilus.n.01')	Arilus
Synset('ariomma.n.01')	Ariomma
Synset('arisaema.n.01')	Arisaema
Synset('arisarum.n.01')	Arisarum
Synset('arius.n.02')	Arius
Synset('arm.n.01')	arm
Synset('arm.n.04')	arm
Synset('armature.n.01')	armature
Synset('armchair.n.01')	armchair
Synset('armenian.n.01')	Armenian
Synset('armet.n.01')	armet
Synset('armhole.n.01')	armhole
